Time,Core Temperatures,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7
00:57:54,38,38,39,38,38,38,38,39,38
00:57:56,38,38,39,38,38,38,38,38,38
00:57:58,38,37,38,38,38,38,37,38,38
00:58:00,38,38,39,38,39,38,38,39,38
00:58:02,38,37,38,38,38,38,37,39,38
00:58:04,38,37,38,38,38,38,37,38,38
00:58:06,38,37,38,37,38,38,37,39,38
00:58:08,38,38,38,38,38,38,38,38,38
00:58:10,38,37,38,38,38,38,38,38,38
00:58:12,38,38,38,38,38,38,37,38,38
00:58:14,38,37,38,38,38,38,38,39,38
00:58:16,38,37,38,38,38,38,37,38,38
00:58:18,38,38,38,37,38,38,38,39,38
00:58:20,38,38,38,38,38,38,38,38,38
00:58:22,38,37,38,38,38,38,37,38,38
00:58:24,38,37,38,38,38,38,38,38,37
00:58:26,38,38,38,37,38,38,38,37,37
00:58:28,38,37,38,38,38,38,38,38,38
00:58:30,38,37,38,38,38,38,38,38,37
00:58:32,38,38,39,38,38,38,38,38,38
00:58:34,38,37,38,38,38,38,38,38,38
00:58:36,38,37,38,38,38,38,37,38,37
00:58:38,38,37,38,37,38,38,37,37,38
00:58:40,38,37,38,38,38,38,37,38,38
00:58:42,38,38,38,38,38,37,37,38,37
00:58:44,38,37,38,38,38,38,38,38,38
00:58:46,38,38,37,38,38,38,37,38,38
00:58:48,38,37,38,38,38,38,38,38,38
00:58:50,38,37,38,37,38,38,38,38,38
00:58:52,38,38,38,37,38,37,38,38,38
00:58:54,38,37,38,38,38,37,37,38,38
00:58:56,38,36,38,38,38,37,38,39,37
00:58:58,38,38,38,38,38,37,37,39,37
00:59:00,38,37,39,39,39,38,38,38,38
00:59:02,38,37,38,38,38,37,37,38,38
00:59:04,38,37,39,37,38,37,38,38,38
00:59:06,38,37,38,37,38,37,37,38,38
00:59:08,38,37,38,37,39,37,37,38,38
00:59:10,38,37,38,38,38,37,37,38,37
00:59:12,38,38,38,38,38,38,37,38,38
00:59:14,38,37,38,38,37,38,37,38,38
00:59:16,38,37,39,38,38,38,38,38,38
00:59:18,38,38,39,38,39,38,37,39,38
00:59:20,39,38,41,38,38,39,39,38,38
00:59:22,38,37,38,38,37,38,37,38,38
00:59:24,38,37,38,38,38,37,37,38,39
00:59:26,38,38,39,37,38,38,38,39,38
00:59:28,38,38,38,37,38,38,37,39,38
00:59:30,38,38,38,37,38,38,37,38,38
00:59:32,38,37,38,38,38,38,37,38,40
00:59:34,38,37,38,37,38,38,38,38,37
00:59:36,38,37,38,38,38,38,37,38,38
00:59:38,38,37,37,37,38,38,38,38,37
00:59:40,38,37,38,37,38,38,37,38,37
00:59:42,38,37,38,37,38,38,37,38,38
00:59:44,38,37,38,37,38,38,37,38,38
00:59:46,38,38,37,37,38,38,38,38,38
00:59:48,38,37,38,37,38,37,37,38,38
00:59:50,38,38,38,37,38,38,37,38,37
00:59:52,38,38,38,38,37,37,37,37,38
00:59:54,37,37,38,37,37,37,37,37,38
00:59:56,37,37,38,37,37,37,37,38,38
00:59:58,38,38,38,38,38,38,37,38,38
00:00:00,42,37,38,37,38,62,41,40,39
00:00:02,39,38,40,39,39,39,39,39,38
00:00:04,39,38,40,39,39,39,39,38,38
00:00:06,42,40,41,40,41,41,55,39,41
00:00:08,39,38,39,39,39,39,38,39,39
00:00:10,38,37,39,39,39,39,38,38,38
00:00:13,38,38,39,38,39,39,38,38,38
00:00:14,38,39,39,38,38,39,38,38,38
00:00:16,39,39,40,38,39,39,38,39,38
00:00:18,38,37,39,38,39,39,38,39,38
00:00:20,38,39,38,38,38,39,38,38,38
00:00:22,38,37,39,38,38,38,37,39,38
00:00:24,38,37,39,38,39,38,38,38,38
00:00:26,38,38,39,38,38,38,37,39,38
00:00:28,38,38,39,38,39,38,38,39,38
00:00:30,38,37,39,38,38,38,38,39,38
00:00:32,38,38,39,38,38,38,38,38,38
00:00:34,38,37,38,38,38,38,38,38,38
00:00:36,41,38,53,39,40,39,40,38,39
00:00:38,39,38,40,39,40,39,39,38,39
00:00:40,48,45,55,49,49,47,48,43,44
00:00:42,39,39,40,40,39,39,40,39,39
00:00:44,39,39,40,38,39,39,38,39,39
00:00:46,38,38,39,39,38,39,38,38,38
00:00:48,38,38,39,38,39,38,38,39,39
00:00:50,38,38,40,39,39,38,38,38,38
00:00:52,38,38,39,38,39,39,38,38,38
00:00:54,39,39,41,39,39,39,39,39,39
00:00:56,38,38,39,38,39,39,38,38,39
00:00:58,38,38,39,38,39,39,38,39,38
00:01:00,38,38,39,38,39,39,38,39,38
00:01:02,40,37,43,38,38,38,45,38,44
00:01:04,39,37,39,38,38,38,38,39,42
00:01:06,39,37,39,38,38,39,42,39,39
00:01:08,38,37,39,38,39,38,38,38,38
00:01:10,38,38,39,38,38,39,37,38,38
00:01:12,38,37,39,39,38,39,38,39,38
00:01:14,38,38,39,38,39,38,38,38,37
00:01:16,38,38,39,39,38,39,38,38,39
00:01:18,38,37,39,38,39,39,38,38,38
00:01:20,46,44,70,42,46,41,43,40,42
00:01:22,39,38,40,39,39,39,39,39,39
00:01:24,38,38,39,38,39,39,38,39,38
00:01:26,39,39,39,38,39,39,39,39,38
00:01:28,39,39,39,38,39,39,39,39,39
00:01:30,38,38,39,38,38,38,38,39,38
00:01:32,39,39,39,39,39,39,38,39,38
00:01:34,38,37,39,38,39,39,38,39,38
00:01:36,38,38,39,38,39,39,38,39,38
00:01:38,39,38,39,39,39,39,38,39,38
00:01:40,38,38,39,39,38,39,38,39,38
00:01:42,38,37,39,38,38,38,38,39,39
00:01:44,38,38,38,38,38,38,38,38,38
00:01:46,39,38,40,38,39,39,38,39,38
00:01:48,38,38,38,39,38,38,37,39,38
00:01:50,38,38,38,38,38,38,38,38,38
00:01:52,38,37,39,39,39,38,38,39,38
00:01:54,38,37,39,38,38,38,38,38,38
00:01:56,38,37,39,38,39,38,38,38,38
00:01:58,38,38,39,39,39,38,38,39,38
00:02:00,40,38,49,38,39,38,39,38,39
00:02:02,41,42,45,42,42,41,41,39,39
00:02:04,46,44,60,43,45,43,45,41,43
00:02:06,39,39,40,40,40,39,39,39,39
00:02:08,39,39,40,39,39,39,39,39,39
00:02:10,39,38,39,39,39,39,38,38,39
00:02:12,41,41,43,42,42,41,41,40,40
00:02:14,39,39,40,39,39,39,39,38,39
00:02:16,39,39,40,38,39,39,38,38,39
00:02:18,39,39,40,39,39,39,39,38,39
00:02:20,39,38,39,39,39,39,38,39,38
00:02:22,38,38,39,38,38,39,38,39,39
00:02:24,39,38,39,39,39,39,38,39,39
00:02:26,38,38,39,38,39,39,38,39,38
00:02:28,44,43,40,40,67,41,40,39,40
00:02:30,38,38,39,38,39,39,38,38,38
00:02:32,38,38,39,38,39,39,38,39,38
00:02:34,38,38,39,38,39,38,38,39,38
00:02:36,38,37,38,38,39,38,38,39,38
00:02:38,38,38,39,39,39,38,38,39,38
00:02:40,38,38,39,38,39,38,38,39,38
00:02:42,40,39,46,39,40,39,39,39,39
00:02:44,38,37,40,38,39,38,38,39,38
00:02:46,38,37,39,38,39,38,38,38,38
00:02:48,39,38,39,39,39,39,38,39,39
00:02:50,38,38,39,38,39,38,38,39,38
00:02:52,38,37,39,39,39,38,38,39,38
00:02:54,38,37,39,37,39,39,37,38,38
00:02:56,38,37,38,38,39,39,38,38,38
00:02:58,38,37,38,39,39,39,37,39,38
00:03:00,38,38,39,38,38,38,38,38,38
00:03:02,38,37,38,38,39,39,38,39,38
00:03:04,38,37,38,38,39,39,38,38,38
00:03:06,38,38,38,38,38,38,38,38,38
00:03:08,38,37,38,38,38,38,38,38,38
00:03:10,38,38,38,39,39,38,38,39,38
00:03:12,38,38,38,38,38,38,38,38,38
00:03:14,38,37,39,38,38,38,38,38,38
00:03:16,38,38,39,38,38,38,38,38,38
00:03:18,38,37,38,38,38,38,38,39,38
00:03:20,38,38,38,37,38,38,37,39,38
00:03:22,38,37,38,38,38,38,37,38,38
00:03:24,38,38,38,37,38,38,38,38,38
00:03:26,38,38,39,38,38,38,38,38,38
00:03:28,38,37,38,38,38,38,37,38,38
00:03:30,38,38,38,38,38,38,38,38,38
00:03:32,38,37,38,38,38,38,38,38,38
00:03:34,38,37,39,38,38,38,37,38,38
00:03:36,38,38,39,37,38,39,37,39,38
00:03:38,38,38,38,38,38,38,38,38,38
00:03:40,38,37,38,38,38,38,38,38,38
00:03:42,38,38,38,38,38,38,37,38,38
00:03:44,38,37,38,38,38,37,37,38,38
00:03:46,38,37,39,37,39,38,38,38,38
00:03:48,38,37,38,37,38,38,37,38,38
00:03:50,58,59,65,66,57,56,58,48,51
00:03:52,57,52,53,61,52,74,63,51,50
00:03:54,60,57,54,70,71,56,75,49,52
00:03:56,55,52,50,73,52,57,54,50,50
00:03:58,53,55,61,53,55,51,52,47,50
00:04:00,43,43,44,43,43,43,43,43,43
00:04:01,43,43,43,43,43,42,43,43,43
00:04:04,42,42,42,42,42,41,42,42,42
00:04:05,42,42,42,42,42,42,42,42,42
00:04:07,41,41,42,42,42,41,41,41,41
00:04:10,41,41,42,41,41,42,41,41,41
00:04:12,41,41,42,41,41,40,41,40,40
00:04:14,46,45,48,48,48,45,49,43,43
00:04:16,41,40,42,40,41,41,41,41,40
00:04:17,47,49,48,48,47,46,49,45,47
00:04:19,46,46,47,46,48,46,47,45,46
00:04:22,49,46,50,58,47,47,47,49,47
00:04:24,44,43,44,44,43,44,44,44,43
00:04:26,43,43,44,43,44,43,43,43,43
00:04:28,42,42,43,42,42,41,42,43,42
00:04:30,42,42,43,42,42,42,42,42,42
00:04:31,42,42,43,42,42,41,41,42,41
00:04:34,41,41,42,41,42,41,41,41,41
00:04:36,41,42,42,41,41,41,41,41,41
00:04:37,41,41,41,40,42,41,41,41,41
00:04:40,41,40,42,40,41,41,41,41,41
00:04:42,40,40,41,40,40,41,40,41,40
00:04:44,40,41,41,40,41,40,40,41,40
00:04:46,40,40,41,40,41,41,40,40,40
00:04:47,40,40,41,40,40,40,40,40,40
00:04:50,40,40,41,40,41,41,40,40,40
00:04:52,40,40,41,40,40,40,40,40,39
00:04:54,40,39,40,40,40,41,39,39,40
00:04:56,40,39,41,40,40,40,39,40,40
00:04:58,40,39,40,40,40,40,39,39,40
00:05:00,40,39,40,40,40,40,39,39,40
00:05:01,39,39,40,40,40,39,39,39,39
00:05:04,40,39,40,40,40,40,39,39,39
00:05:06,39,39,40,40,40,39,39,39,39
00:05:07,39,39,40,39,40,40,39,39,39
00:05:10,39,39,40,39,40,40,39,39,39
00:05:12,40,39,40,40,40,39,39,40,39
00:05:14,39,39,40,39,40,39,39,39,39
00:05:15,39,39,40,40,39,39,39,39,39
00:05:18,39,39,40,39,39,39,39,39,39
00:05:20,39,39,40,40,39,39,39,39,39
00:05:21,39,39,40,39,40,39,39,39,39
00:05:24,39,39,40,39,39,39,39,39,39
00:05:25,39,39,40,39,41,39,39,39,39
00:05:28,39,38,40,39,39,39,38,39,39
00:05:30,39,39,40,40,39,39,38,39,39
00:05:31,39,39,40,38,40,39,38,39,39
00:05:33,39,38,40,38,39,39,38,38,39
00:05:35,39,38,39,39,39,39,39,39,39
00:05:37,39,39,40,39,39,38,38,38,38
00:05:39,39,38,40,39,39,39,38,38,39
00:05:41,39,39,39,39,39,39,38,39,38
00:05:43,39,38,39,39,39,38,38,39,39
00:05:45,39,38,40,39,39,39,38,39,38
00:05:47,39,38,40,39,39,39,38,39,38
00:05:49,39,39,39,39,39,39,38,39,39
00:05:51,39,39,39,39,39,39,38,39,39
00:05:53,38,38,40,38,39,39,38,38,38
00:05:55,39,38,39,39,39,39,38,39,38
00:05:57,38,38,39,39,39,38,38,39,38
00:05:59,38,38,39,38,39,39,38,39,38
00:06:01,39,38,40,39,39,39,38,39,39
00:06:03,39,37,40,39,39,39,39,39,38
00:06:05,38,38,39,38,39,38,38,39,38
00:06:07,39,38,40,38,39,39,38,39,38
00:06:09,38,37,39,38,40,38,38,39,38
00:06:11,38,38,39,38,39,39,38,38,38
00:06:13,38,38,39,39,38,38,38,39,38
00:06:15,46,65,43,46,44,42,44,41,44
00:06:17,39,38,40,40,39,39,39,39,39
00:06:19,39,38,39,38,39,39,39,39,38
00:06:21,38,38,39,38,39,39,38,39,38
00:06:23,39,38,39,38,39,39,38,39,39
00:06:25,39,39,39,38,39,39,38,39,38
00:06:27,38,38,39,38,39,39,38,38,38
00:06:29,38,38,39,38,39,38,38,39,38
00:06:31,38,38,40,38,39,38,38,39,38
00:06:33,39,39,39,38,39,39,38,39,38
00:06:35,38,38,39,38,39,39,38,39,38
00:06:37,38,38,39,38,39,39,38,38,38
00:06:39,38,38,39,38,39,39,38,39,38
00:06:41,38,38,39,38,39,39,37,39,39
00:06:43,38,38,39,38,39,39,38,39,38
00:06:45,38,38,39,38,38,39,38,38,38
00:06:47,38,38,39,38,39,39,38,38,38
00:06:49,38,39,39,38,38,39,38,39,38
00:06:52,38,37,39,38,38,38,38,39,38
00:06:53,38,38,39,38,38,39,37,39,38
